timestamp,added_by,author,title,type,where
2025-10-21 15:16:19.652726,Oleg Lavrovsky,Le,A New Place to Work and Play: Play Labor and the Production of the New Worker-Subject at Hackathons,Journal,https://academiccommons.columbia.edu/doi/10.7916/D8348XXN
2025-10-21 15:16:19.652729,Oleg Lavrovsky,Stoltzfus et al.,Community and Code: Nine Lessons from Nine NESCent Hackathons,Journal,https://f1000research.com/articles/6-786/v1
2025-10-21 15:16:19.652732,Oleg Lavrovsky,Alberts and Oldenziel,Hacking Europe: From Computer Cultures to Demoscenes,Book,https://link.springer.com/10.1007/978-1-4471-5493-8
2025-10-21 15:16:19.652734,Oleg Lavrovsky,Wilkie,Empowering software engineering teams through the power of co-discovery and co-creation,Other,https://medium.com/@phanwilkie/empowering-software-engineering-teams-through-the-power-of-co-discovery-and-co-creation-314ef2c01a58
2025-10-21 15:16:19.652739,Oleg Lavrovsky,Kohne and Wehmeier,Hackathons: Von der Idee zur erfolgreichen Umsetzung,Book,http://link.springer.com/10.1007/978-3-658-26028-6
2025-10-21 15:16:19.652743,Oleg Lavrovsky,Falk et al.,The Future of Hackathon Research and Practice,Journal,https://ieeexplore.ieee.org/document/10666667
2025-10-21 15:16:19.652746,Oleg Lavrovsky,Samochowiec et al.,The New Volunteers – The Future of civic participation,Other,https://gdi.ch/en/publications/studies/the-new-volunteers-pdf-2018-e?page=3#attr=
2025-10-21 15:16:19.652749,Oleg Lavrovsky,Affia et al.,Developing and Evaluating a Hackathon Approach to Foster Cyber Security Learning,Other,https://link.springer.com/10.1007/978-3-030-58157-2_1
2025-10-21 15:16:19.652754,Oleg Lavrovsky,Roberts,Creating Data Art: Authentic Learning and Visualisation Exhibition,Other,http://arxiv.org/abs/2408.07590
2025-10-21 15:16:19.652760,Oleg Lavrovsky,Ibrahim et al.,Beyond static AI evaluations: advancing human interaction evaluations for LLM harms and risks,Other,http://arxiv.org/abs/2405.10632
2025-10-21 15:16:19.652764,Oleg Lavrovsky,Gupta,Integrating Ideation and Hackathons for Business Model Innovation: 360-Degree Approach,Other,https://link.springer.com/10.1007/978-3-031-19741-3_7
2025-10-21 15:16:19.652768,Oleg Lavrovsky,Temiz,Open Innovation via Crowdsourcing: A Digital Only Hackathon Case Study from Sweden,Journal,https://linkinghub.elsevier.com/retrieve/pii/S2199853122008083
2025-10-21 15:16:19.652772,Oleg Lavrovsky,Jaribion et al.,Crowdsourcing Properties and Mechanisms of Mega Hackathons: The Case of Junction,Journal,https://ieeexplore.ieee.org/document/9453857/
2025-10-21 15:16:19.652776,Oleg Lavrovsky,Valjamae et al.,The BrainHack Project: Exploring Art - BCI Hackathons,Other,https://dl.acm.org/doi/10.1145/3038439.3038447
2025-10-21 15:16:19.652780,Oleg Lavrovsky,Taylor,There Is an App for That: Technological Solutionism as COVID-19 Policy in the Global North,Other,https://link.springer.com/10.1007/978-3-030-65355-2_30
2025-10-21 15:16:19.652784,Oleg Lavrovsky,D'Ignazio et al.,"""The Personal is Political"": Hackathons as Feminist Consciousness Raising",Journal,https://dl.acm.org/doi/10.1145/3415221
2025-10-21 15:16:19.652788,Oleg Lavrovsky,Madianou,Technocolonialism: Digital Innovation and Data Practices in the Humanitarian Response to Refugee Crises,Journal,http://journals.sagepub.com/doi/10.1177/2056305119863146
2025-10-21 15:16:19.652791,Oleg Lavrovsky,Austin,Should you enter a Hackathon?,Journal,https://medium.com/@Andrew-Austin/should-you-enter-a-hackathon-6aa4df501d26
2025-10-21 15:16:19.652796,Oleg Lavrovsky,Hope et al.,Hackathons as Participatory Design: Iterating Feminist Utopias,Other,https://dl.acm.org/doi/10.1145/3290605.3300291
